Period,Label1,Value
2019-06-24,Other passports,7872
2019-06-24,Total,17011
2019-06-25,New Zealand passport,7459
2019-06-25,Other passports,8114
2019-06-25,Total,15573
2019-06-26,New Zealand passport,7909
2019-06-26,Other passports,7079
2019-06-26,Total,14988
2019-06-27,New Zealand passport,9856
2019-06-27,Other passports,7970
2019-06-27,Total,17826
2019-06-28,New Zealand passport,10819
2019-06-28,Other passports,8767
2019-06-28,Total,19586
2019-06-29,New Zealand passport,10301
2019-06-29,Other passports,9020
2019-06-29,Total,19321
2019-06-30,New Zealand passport,9280
2019-06-30,Other passports,9909
2019-06-30,Total,19189
2019-07-01,New Zealand passport,9172
2019-07-01,Other passports,8078
2019-07-01,Total,17250
2019-07-02,New Zealand passport,8848
2019-07-02,Other passports,9014
2019-07-02,Total,17862
2019-07-03,New Zealand passport,10306
2019-07-03,Other passports,7792
2019-07-03,Total,18098
2019-07-04,New Zealand passport,10885
2019-07-04,Other passports,8597
2019-07-04,Total,19482
2019-07-05,New Zealand passport,13635
2019-07-05,Other passports,9991
2019-07-05,Total,23626
2019-07-06,New Zealand passport,14515
2019-07-06,Other passports,9609
2019-07-06,Total,24124
2019-07-07,New Zealand passport,12897
2019-07-07,Other passports,9666
2019-07-07,Total,22563
2019-07-08,New Zealand passport,11675
2019-07-08,Other passports,9020
2019-07-08,Total,20695
2019-07-09,New Zealand passport,10520
2019-07-09,Other passports,9202
2019-07-09,Total,19722
2019-07-10,New Zealand passport,10232
2019-07-10,Other passports,8609
2019-07-10,Total,18841
2019-07-11,New Zealand passport,10088
2019-07-11,Other passports,9286
2019-07-11,Total,19374
2019-07-12,New Zealand passport,10870
2019-07-12,Other passports,10027
2019-07-12,Total,20897
2019-07-13,New Zealand passport,10021
2019-07-13,Other passports,11021
2019-07-13,Total,21042
2019-07-14,New Zealand passport,9443
2019-07-14,Other passports,11296
2019-07-14,Total,20739
2019-07-15,New Zealand passport,9743
2019-07-15,Other passports,9426
2019-07-15,Total,19169
2019-07-16,New Zealand passport,9584
2019-07-16,Other passports,9467
2019-07-16,Total,19051
2019-07-17,New Zealand passport,8310
2019-07-17,Other passports,8374
2019-07-17,Total,16684
2019-07-18,New Zealand passport,8468
2019-07-18,Other passports,9173
2019-07-18,Total,17641
2019-07-19,New Zealand passport,9419
2019-07-19,Other passports,9791
2019-07-19,Total,19210
2019-07-20,New Zealand passport,9059
2019-07-20,Other passports,11093
2019-07-20,Total,20152
2019-07-21,New Zealand passport,8424
2019-07-21,Other passports,9641
2019-07-21,Total,18065
2019-07-22,New Zealand passport,8391
2019-07-22,Other passports,7701
2019-07-22,Total,16092
2019-07-23,New Zealand passport,7694
2019-07-23,Other passports,7175
2019-07-23,Total,14869
2019-07-24,New Zealand passport,9586
2019-07-24,Other passports,7380
2019-07-24,Total,16966
2019-07-25,New Zealand passport,8946
2019-07-25,Other passports,7571
2019-07-25,Total,16517
2019-07-26,New Zealand passport,9875
2019-07-26,Other passports,8476
2019-07-26,Total,18351
2019-07-27,New Zealand passport,9090
2019-07-27,Other passports,8940
2019-07-27,Total,18030
2019-07-28,New Zealand passport,7690
2019-07-28,Other passports,8398
2019-07-28,Total,16088
2019-07-29,New Zealand passport,7101
2019-07-29,Other passports,7242
2019-07-29,Total,14343
2019-07-30,New Zealand passport,6462
2019-07-30,Other passports,7530
2019-07-30,Total,13992
2019-07-31,New Zealand passport,8166
2019-07-31,Other passports,8009
2019-07-31,Total,16175
2019-08-01,New Zealand passport,9582
2019-08-01,Other passports,7476
2019-08-01,Total,17058
2019-08-02,New Zealand passport,10440
2019-08-02,Other passports,8631
2019-08-02,Total,19071
2019-08-03,New Zealand passport,9895
2019-08-03,Other passports,9279
2019-08-03,Total,19174
2019-08-04,New Zealand passport,8338
2019-08-04,Other passports,8905
2019-08-04,Total,17243
2019-08-05,New Zealand passport,8593
2019-08-05,Other passports,8178
2019-08-05,Total,16771
2019-08-06,New Zealand passport,6989
2019-08-06,Other passports,7661
2019-08-06,Total,14650
2019-08-07,New Zealand passport,8150
2019-08-07,Other passports,7545
2019-08-07,Total,15695
2019-08-08,New Zealand passport,9218
2019-08-08,Other passports,8283
2019-08-08,Total,17501
2019-08-09,New Zealand passport,9799
2019-08-09,Other passports,9016
2019-08-09,Total,18815
2019-08-10,New Zealand passport,9167
2019-08-10,Other passports,10259
2019-08-10,Total,19426
2019-08-11,New Zealand passport,7873
2019-08-11,Other passports,10499
2019-08-11,Total,18372
2019-08-12,New Zealand passport,7343
2019-08-12,Other passports,9462
2019-08-12,Total,16805
2019-08-13,New Zealand passport,6834
2019-08-13,Other passports,8786
2019-08-13,Total,15620
2019-08-14,New Zealand passport,8000
2019-08-14,Other passports,8474
2019-08-14,Total,16474
2019-08-15,New Zealand passport,8861
2019-08-15,Other passports,9746
2019-08-15,Total,18607
2019-08-16,New Zealand passport,10470
2019-08-16,Other passports,10174
2019-08-16,Total,20644
2019-08-17,New Zealand passport,9199
2019-08-17,Other passports,11737
2019-08-17,Total,20936
2019-08-18,New Zealand passport,7459
2019-08-18,Other passports,11033
2019-08-18,Total,18492
2019-08-19,New Zealand passport,7847
2019-08-19,Other passports,9756
2019-08-19,Total,17603
2019-08-20,New Zealand passport,7886
2019-08-20,Other passports,9613
2019-08-20,Total,17499
2019-08-21,New Zealand passport,7756
2019-08-21,Other passports,7458
2019-08-21,Total,15214
2019-08-22,New Zealand passport,9451
2019-08-22,Other passports,8786
2019-08-22,Total,18237
2019-08-23,New Zealand passport,10112
2019-08-23,Other passports,10232
2019-08-23,Total,20344
2019-08-24,New Zealand passport,9336
2019-08-24,Other passports,10740
2019-08-24,Total,20076
2019-08-25,New Zealand passport,7804
2019-08-25,Other passports,10567
2019-08-25,Total,18371
2019-08-26,New Zealand passport,7538
2019-08-26,Other passports,9217
2019-08-26,Total,16755
2019-08-27,New Zealand passport,7079
2019-08-27,Other passports,8210
2019-08-27,Total,15289
2019-08-28,New Zealand passport,7972
2019-08-28,Other passports,7732
2019-08-28,Total,15704
2019-08-29,New Zealand passport,8818
2019-08-29,Other passports,8372
2019-08-29,Total,17190
2019-08-30,New Zealand passport,10095
2019-08-30,Other passports,9329
2019-08-30,Total,19424
2019-08-31,New Zealand passport,9885
2019-08-31,Other passports,10113
2019-08-31,Total,19998
2019-09-01,New Zealand passport,9048
2019-09-01,Other passports,8672
2019-09-01,Total,17720
2019-09-02,New Zealand passport,9565
2019-09-02,Other passports,7944
2019-09-02,Total,17509
2019-09-03,New Zealand passport,8100
2019-09-03,Other passports,6739
2019-09-03,Total,14839
2019-09-04,New Zealand passport,9141
2019-09-04,Other passports,7036
2019-09-04,Total,16177
2019-09-05,New Zealand passport,9876
2019-09-05,Other passports,7446
2019-09-05,Total,17322
2019-09-06,New Zealand passport,10897
2019-09-06,Other passports,8140
2019-09-06,Total,19037
2019-09-07,New Zealand passport,10170
2019-09-07,Other passports,8776
2019-09-07,Total,18946
2019-09-08,New Zealand passport,8302
2019-09-08,Other passports,8875
2019-09-08,Total,17177
2019-09-09,New Zealand passport,7892
2019-09-09,Other passports,7509
2019-09-09,Total,15401
2019-09-10,New Zealand passport,7461
2019-09-10,Other passports,7119
2019-09-10,Total,14580
2019-09-11,New Zealand passport,7823
2019-09-11,Other passports,6842
2019-09-11,Total,14665
2019-09-12,New Zealand passport,9083
2019-09-12,Other passports,7638
2019-09-12,Total,16721
2019-09-13,New Zealand passport,10053
2019-09-13,Other passports,8591
2019-09-13,Total,18644
2019-09-14,New Zealand passport,9027
2019-09-14,Other passports,9590
2019-09-14,Total,18617
2019-09-15,New Zealand passport,7791
2019-09-15,Other passports,10353
2019-09-15,Total,18144
2019-09-16,New Zealand passport,7567
2019-09-16,Other passports,8139
2019-09-16,Total,15706
2019-09-17,New Zealand passport,7568
2019-09-17,Other passports,7476
2019-09-17,Total,15044
2019-09-18,New Zealand passport,8127
2019-09-18,Other passports,6715
2019-09-18,Total,14842
2019-09-19,New Zealand passport,9991
2019-09-19,Other passports,8218
2019-09-19,Total,18209
2019-09-20,New Zealand passport,10581
2019-09-20,Other passports,8794
2019-09-20,Total,19375
2019-09-21,New Zealand passport,9712
2019-09-21,Other passports,9121
2019-09-21,Total,18833
2019-09-22,New Zealand passport,8088
2019-09-22,Other passports,9724
2019-09-22,Total,17812
2019-09-23,New Zealand passport,7438
2019-09-23,Other passports,8549
2019-09-23,Total,15987
2019-09-24,New Zealand passport,8226
2019-09-24,Other passports,9304
2019-09-24,Total,17530
2019-09-25,New Zealand passport,9669
2019-09-25,Other passports,7680
2019-09-25,Total,17349
2019-09-26,New Zealand passport,10788
2019-09-26,Other passports,9370
2019-09-26,Total,20158
2019-09-27,New Zealand passport,12130
2019-09-27,Other passports,9279
2019-09-27,Total,21409
2019-09-28,New Zealand passport,12572
2019-09-28,Other passports,9846
2019-09-28,Total,22418
2019-09-29,New Zealand passport,10520
2019-09-29,Other passports,9890
2019-09-29,Total,20410
2019-09-30,New Zealand passport,9776
2019-09-30,Other passports,9461
2019-09-30,Total,19237
2019-10-01,New Zealand passport,9322
2019-10-01,Other passports,9098
2019-10-01,Total,18420
2019-10-02,New Zealand passport,9257
2019-10-02,Other passports,8665
2019-10-02,Total,17922
2019-10-03,New Zealand passport,9860
2019-10-03,Other passports,9399
2019-10-03,Total,19259
2019-10-04,New Zealand passport,10987
2019-10-04,Other passports,10392
2019-10-04,Total,21379
2019-10-05,New Zealand passport,10058
2019-10-05,Other passports,10801
2019-10-05,Total,20859
2019-10-06,New Zealand passport,8158
2019-10-06,Other passports,12194
2019-10-06,Total,20352
2019-10-07,New Zealand passport,7935
2019-10-07,Other passports,11190
2019-10-07,Total,19125
2019-10-08,New Zealand passport,7956
2019-10-08,Other passports,10041
2019-10-08,Total,17997
2019-10-09,New Zealand passport,8438
2019-10-09,Other passports,8914
2019-10-09,Total,17352
2019-10-10,New Zealand passport,9253
2019-10-10,Other passports,9456
2019-10-10,Total,18709
2019-10-11,New Zealand passport,9312
2019-10-11,Other passports,10609
2019-10-11,Total,19921
2019-10-12,New Zealand passport,8369
2019-10-12,Other passports,11498
2019-10-12,Total,19867
2019-10-13,New Zealand passport,7514
2019-10-13,Other passports,10562
2019-10-13,Total,18076
2019-10-14,New Zealand passport,8222
2019-10-14,Other passports,8560
2019-10-14,Total,16782
2019-10-15,New Zealand passport,7807
2019-10-15,Other passports,8261
2019-10-15,Total,16068
2019-10-16,New Zealand passport,8285
2019-10-16,Other passports,7349
2019-10-16,Total,15634
2019-10-17,New Zealand passport,9027
2019-10-17,Other passports,7492
2019-10-17,Total,16519
2019-10-18,New Zealand passport,9847
2019-10-18,Other passports,8717
2019-10-18,Total,18564
2019-10-19,New Zealand passport,8341
2019-10-19,Other passports,10718
2019-10-19,Total,19059
2019-10-20,New Zealand passport,7197
2019-10-20,Other passports,9529
2019-10-20,Total,16726
2019-10-21,New Zealand passport,7317
2019-10-21,Other passports,8485
2019-10-21,Total,15802
2019-10-22,New Zealand passport,6972
2019-10-22,Other passports,8459
2019-10-22,Total,15431
2019-10-23,New Zealand passport,8937
2019-10-23,Other passports,7992
2019-10-23,Total,16929
2019-10-24,New Zealand passport,9857
2019-10-24,Other passports,7783
2019-10-24,Total,17640
2019-10-25,New Zealand passport,10953
2019-10-25,Other passports,9338
2019-10-25,Total,20291
2019-10-26,New Zealand passport,8029
2019-10-26,Other passports,9845
2019-10-26,Total,17874
2019-10-27,New Zealand passport,6302
2019-10-27,Other passports,8997
2019-10-27,Total,15299
2019-10-28,New Zealand passport,6913
2019-10-28,Other passports,9114
2019-10-28,Total,16027
2019-10-29,New Zealand passport,6078
2019-10-29,Other passports,8981
2019-10-29,Total,15059
2019-10-30,New Zealand passport,7171
2019-10-30,Other passports,8749
2019-10-30,Total,15920
2019-10-31,New Zealand passport,7310
2019-10-31,Other passports,8808
2019-10-31,Total,16118
2019-11-01,New Zealand passport,9133
2019-11-01,Other passports,9552
2019-11-01,Total,18685
2019-11-02,New Zealand passport,7716
2019-11-02,Other passports,10349
2019-11-02,Total,18065
2019-11-03,New Zealand passport,6970
2019-11-03,Other passports,9612
2019-11-03,Total,16582
2019-11-04,New Zealand passport,7148
2019-11-04,Other passports,9471
2019-11-04,Total,16619
2019-11-05,New Zealand passport,6016
2019-11-05,Other passports,9269
2019-11-05,Total,15285
2019-11-06,New Zealand passport,7127
2019-11-06,Other passports,8795
2019-11-06,Total,15922
2019-11-07,New Zealand passport,7185
2019-11-07,Other passports,8880
2019-11-07,Total,16065
2019-11-08,New Zealand passport,8419
2019-11-08,Other passports,12108
2019-11-08,Total,20527
2019-11-09,New Zealand passport,7136
2019-11-09,Other passports,10983
2019-11-09,Total,18119
2019-11-10,New Zealand passport,6878
2019-11-10,Other passports,12207
2019-11-10,Total,19085
2019-11-11,New Zealand passport,7235
2019-11-11,Other passports,10958
2019-11-11,Total,18193
2019-11-12,New Zealand passport,5665
2019-11-12,Other passports,9823
2019-11-12,Total,15488
2019-11-13,New Zealand passport,7528
2019-11-13,Other passports,12355
2019-11-13,Total,19883
2019-11-14,New Zealand passport,8128
2019-11-14,Other passports,10079
2019-11-14,Total,18207
2019-11-15,New Zealand passport,8987
2019-11-15,Other passports,12521
2019-11-15,Total,21508
2019-11-16,New Zealand passport,6981
2019-11-16,Other passports,12297
2019-11-16,Total,19278
2019-11-17,New Zealand passport,6677
2019-11-17,Other passports,12491
2019-11-17,Total,19168
2019-11-18,New Zealand passport,6744
2019-11-18,Other passports,12081
2019-11-18,Total,18825
2019-11-19,New Zealand passport,6187
2019-11-19,Other passports,10915
2019-11-19,Total,17102
2019-11-20,New Zealand passport,7587
2019-11-20,Other passports,11363
2019-11-20,Total,18950
2019-11-21,New Zealand passport,7801
2019-11-21,Other passports,12068
2019-11-21,Total,19869
2019-11-22,New Zealand passport,8320
2019-11-22,Other passports,13236
2019-11-22,Total,21556
2019-11-23,New Zealand passport,7162
2019-11-23,Other passports,14214
2019-11-23,Total,21376
2019-11-24,New Zealand passport,6461
2019-11-24,Other passports,13980
2019-11-24,Total,20441
2019-11-25,New Zealand passport,6644
2019-11-25,Other passports,12881
2019-11-25,Total,19525
2019-11-26,New Zealand passport,6220
2019-11-26,Other passports,11929
2019-11-26,Total,18149
2019-11-27,New Zealand passport,7270
2019-11-27,Other passports,13118
2019-11-27,Total,20388
2019-11-28,New Zealand passport,8017
2019-11-28,Other passports,12644
2019-11-28,Total,20661
2019-11-29,New Zealand passport,8166
2019-11-29,Other passports,16825
2019-11-29,Total,24991
2019-11-30,New Zealand passport,7081
2019-11-30,Other passports,15271
2019-11-30,Total,22352
2019-12-01,New Zealand passport,6742
2019-12-01,Other passports,14781
2019-12-01,Total,21523
2019-12-02,New Zealand passport,6760
2019-12-02,Other passports,15382
2019-12-02,Total,22142
2019-12-03,New Zealand passport,6445
2019-12-03,Other passports,13012
2019-12-03,Total,19457
2019-12-04,New Zealand passport,7391
2019-12-04,Other passports,13568
2019-12-04,Total,20959
2019-12-05,New Zealand passport,8173
2019-12-05,Other passports,14193
2019-12-05,Total,22366
2019-12-06,New Zealand passport,8444
2019-12-06,Other passports,14072
2019-12-06,Total,22516
2019-12-07,New Zealand passport,7489
2019-12-07,Other passports,14692
2019-12-07,Total,22181
2019-12-08,New Zealand passport,7479
2019-12-08,Other passports,15397
2019-12-08,Total,22876
2019-12-09,New Zealand passport,7412
2019-12-09,Other passports,13567
2019-12-09,Total,20979
2019-12-10,New Zealand passport,6364
2019-12-10,Other passports,13026
2019-12-10,Total,19390
2019-12-11,New Zealand passport,7243
2019-12-11,Other passports,13667
2019-12-11,Total,20910
2019-12-12,New Zealand passport,8135
2019-12-12,Other passports,14945
2019-12-12,Total,23080
2019-12-13,New Zealand passport,8205
2019-12-13,Other passports,14623
2019-12-13,Total,22828
2019-12-14,New Zealand passport,7748
2019-12-14,Other passports,14361
2019-12-14,Total,22109
2019-12-15,New Zealand passport,7539
2019-12-15,Other passports,13761
2019-12-15,Total,21300
2019-12-16,New Zealand passport,8214
2019-12-16,Other passports,13969
2019-12-16,Total,22183
2019-12-17,New Zealand passport,8137
2019-12-17,Other passports,15251
2019-12-17,Total,23388
2019-12-18,New Zealand passport,8292
2019-12-18,Other passports,12398
2019-12-18,Total,20690
2019-12-19,New Zealand passport,10324
2019-12-19,Other passports,13406
2019-12-19,Total,23730
2019-12-20,New Zealand passport,12348
2019-12-20,Other passports,13732
2019-12-20,Total,26080
2019-12-21,New Zealand passport,12808
2019-12-21,Other passports,13461
2019-12-21,Total,26269
2019-12-22,New Zealand passport,11936
2019-12-22,Other passports,13067
2019-12-22,Total,25003
2019-12-23,New Zealand passport,11629
2019-12-23,Other passports,12299
2019-12-23,Total,23928
2019-12-24,New Zealand passport,11291
2019-12-24,Other passports,11326
2019-12-24,Total,22617
2019-12-25,New Zealand passport,13495
2019-12-25,Other passports,10068
2019-12-25,Total,23563
2019-12-26,New Zealand passport,14331
2019-12-26,Other passports,10173
2019-12-26,Total,24504
2019-12-27,New Zealand passport,11956
2019-12-27,Other passports,15736
2019-12-27,Total,27692
2019-12-28,New Zealand passport,10034
2019-12-28,Other passports,13964
2019-12-28,Total,23998
2019-12-29,New Zealand passport,9009
2019-12-29,Other passports,15639
2019-12-29,Total,24648
2019-12-30,New Zealand passport,8224
2019-12-30,Other passports,16124
2019-12-30,Total,24348
2019-12-31,New Zealand passport,8321
2019-12-31,Other passports,18664
2019-12-31,Total,26985
2020-01-01,New Zealand passport,7622
2020-01-01,Other passports,15973
2020-01-01,Total,23595
2020-01-02,New Zealand passport,7711
2020-01-02,Other passports,17224
2020-01-02,Total,24935
2020-01-03,New Zealand passport,8008
2020-01-03,Other passports,18337
2020-01-03,Total,26345
2020-01-04,New Zealand passport,7571
2020-01-04,Other passports,19611
2020-01-04,Total,27182
2020-01-05,New Zealand passport,8653
2020-01-05,Other passports,20283
2020-01-05,Total,28936
2020-01-06,New Zealand passport,8016
2020-01-06,Other passports,15883
2020-01-06,Total,23899
2020-01-07,New Zealand passport,8060
2020-01-07,Other passports,15862
2020-01-07,Total,23922
2020-01-08,New Zealand passport,7971
2020-01-08,Other passports,15621
2020-01-08,Total,23592
2020-01-09,New Zealand passport,8315
2020-01-09,Other passports,16266
2020-01-09,Total,24581
2020-01-10,New Zealand passport,7830
2020-01-10,Other passports,16545
2020-01-10,Total,24375
2020-01-11,New Zealand passport,7794
2020-01-11,Other passports,17176
2020-01-11,Total,24970
2020-01-12,New Zealand passport,7727
2020-01-12,Other passports,15898
2020-01-12,Total,23625
2020-01-13,New Zealand passport,8052
2020-01-13,Other passports,15202
2020-01-13,Total,23254
2020-01-14,New Zealand passport,7595
2020-01-14,Other passports,13756
2020-01-14,Total,21351
2020-01-15,New Zealand passport,7983
2020-01-15,Other passports,14762
2020-01-15,Total,22745
2020-01-16,New Zealand passport,8377
2020-01-16,Other passports,16021
2020-01-16,Total,24398
2020-01-17,New Zealand passport,8064
2020-01-17,Other passports,14954
2020-01-17,Total,23018
2020-01-18,New Zealand passport,7594
2020-01-18,Other passports,14951
2020-01-18,Total,22545
2020-01-19,New Zealand passport,7482
2020-01-19,Other passports,16666
2020-01-19,Total,24148
2020-01-20,New Zealand passport,7784
2020-01-20,Other passports,15245
2020-01-20,Total,23029
2020-01-21,New Zealand passport,7303
2020-01-21,Other passports,14149
2020-01-21,Total,21452
2020-01-22,New Zealand passport,7235
2020-01-22,Other passports,13471
2020-01-22,Total,20706
2020-01-23,New Zealand passport,7359
2020-01-23,Other passports,13298
2020-01-23,Total,20657
2020-01-24,New Zealand passport,7352
2020-01-24,Other passports,13844
2020-01-24,Total,21196
2020-01-25,New Zealand passport,6486
2020-01-25,Other passports,13725
2020-01-25,Total,20211
2020-01-26,New Zealand passport,5754
2020-01-26,Other passports,15745
2020-01-26,Total,21499
2020-01-27,New Zealand passport,6051
2020-01-27,Other passports,14342
2020-01-27,Total,20393
2020-01-28,New Zealand passport,5839
2020-01-28,Other passports,13721
2020-01-28,Total,19560
2020-01-29,New Zealand passport,5944
2020-01-29,Other passports,13284
2020-01-29,Total,19228
2020-01-30,New Zealand passport,5960
2020-01-30,Other passports,13014
2020-01-30,Total,18974
2020-01-31,New Zealand passport,6525
2020-01-31,Other passports,14259
2020-01-31,Total,20784
2020-02-01,New Zealand passport,6103
2020-02-01,Other passports,13828
2020-02-01,Total,19931
2020-02-02,New Zealand passport,5520
2020-02-02,Other passports,14016
2020-02-02,Total,19536
2020-02-03,New Zealand passport,5404
2020-02-03,Other passports,11760
2020-02-03,Total,17164
2020-02-04,New Zealand passport,4414
2020-02-04,Other passports,11173
2020-02-04,Total,15587
2020-02-05,New Zealand passport,6892
2020-02-05,Other passports,12757
2020-02-05,Total,19649
2020-02-06,New Zealand passport,6915
2020-02-06,Other passports,11463
2020-02-06,Total,18378
2020-02-07,New Zealand passport,5409
2020-02-07,Other passports,12632
2020-02-07,Total,18041
2020-02-08,New Zealand passport,4759
2020-02-08,Other passports,13256
2020-02-08,Total,18015
2020-02-09,New Zealand passport,5746
2020-02-09,Other passports,12625
2020-02-09,Total,18371
2020-02-10,New Zealand passport,5727
2020-02-10,Other passports,13694
2020-02-10,Total,19421
2020-02-11,New Zealand passport,4446
2020-02-11,Other passports,9939
2020-02-11,Total,14385
2020-02-12,New Zealand passport,5545
2020-02-12,Other passports,11003
2020-02-12,Total,16548
2020-02-13,New Zealand passport,5479
2020-02-13,Other passports,11469
2020-02-13,Total,16948
2020-02-14,New Zealand passport,6136
2020-02-14,Other passports,13055
2020-02-14,Total,19191
2020-02-15,New Zealand passport,5316
2020-02-15,Other passports,12616
2020-02-15,Total,17932
2020-02-16,New Zealand passport,5637
2020-02-16,Other passports,13244
2020-02-16,Total,18881
2020-02-17,New Zealand passport,5755
2020-02-17,Other passports,12474
2020-02-17,Total,18229
2020-02-18,New Zealand passport,4348
2020-02-18,Other passports,11437
2020-02-18,Total,15785
2020-02-19,New Zealand passport,5760
2020-02-19,Other passports,13090
2020-02-19,Total,18850
2020-02-20,New Zealand passport,5823
2020-02-20,Other passports,11497
2020-02-20,Total,17320
2020-02-21,New Zealand passport,6875
2020-02-21,Other passports,14251
2020-02-21,Total,21126
2020-02-22,New Zealand passport,5519
2020-02-22,Other passports,15233
2020-02-22,Total,20752
2020-02-23,New Zealand passport,5631
2020-02-23,Other passports,13630
2020-02-23,Total,19261
2020-02-24,New Zealand passport,5637
2020-02-24,Other passports,13452
2020-02-24,Total,19089
2020-02-25,New Zealand passport,4666
2020-02-25,Other passports,11157
2020-02-25,Total,15823
2020-02-26,New Zealand passport,5569
2020-02-26,Other passports,12882
2020-02-26,Total,18451
2020-02-27,New Zealand passport,5775
2020-02-27,Other passports,13106
2020-02-27,Total,18881
2020-02-28,New Zealand passport,6511
2020-02-28,Other passports,14520
2020-02-28,Total,21031
2020-02-29,New Zealand passport,5466
2020-02-29,Other passports,12961
2020-02-29,Total,18427
2020-03-01,New Zealand passport,5943
2020-03-01,Other passports,13577
2020-03-01,Total,19520
2020-03-02,New Zealand passport,5799
2020-03-02,Other passports,13708
2020-03-02,Total,19507
2020-03-03,New Zealand passport,4802
2020-03-03,Other passports,10163
2020-03-03,Total,14965
2020-03-04,New Zealand passport,5766
2020-03-04,Other passports,11678
2020-03-04,Total,17444
2020-03-05,New Zealand passport,6203
2020-03-05,Other passports,10481
2020-03-05,Total,16684
2020-03-06,New Zealand passport,6717
2020-03-06,Other passports,12357
2020-03-06,Total,19074
2020-03-07,New Zealand passport,5727
2020-03-07,Other passports,10873
2020-03-07,Total,16600
2020-03-08,New Zealand passport,5713
2020-03-08,Other passports,12241
2020-03-08,Total,17954
2020-03-09,New Zealand passport,5435
2020-03-09,Other passports,12152
2020-03-09,Total,17587
2020-03-10,New Zealand passport,4630
2020-03-10,Other passports,10619
2020-03-10,Total,15249
2020-03-11,New Zealand passport,5784
2020-03-11,Other passports,11100
2020-03-11,Total,16884
2020-03-12,New Zealand passport,6211
2020-03-12,Other passports,11204
2020-03-12,Total,17415
2020-03-13,New Zealand passport,6644
2020-03-13,Other passports,11953
2020-03-13,Total,18597
2020-03-14,New Zealand passport,4947
2020-03-14,Other passports,11023
2020-03-14,Total,15970
2020-03-15,New Zealand passport,3904
2020-03-15,Other passports,14455
2020-03-15,Total,18359
2020-03-16,New Zealand passport,2755
2020-03-16,Other passports,11181
2020-03-16,Total,13936
2020-03-17,New Zealand passport,1996
2020-03-17,Other passports,8980
2020-03-17,Total,10976
2020-03-18,New Zealand passport,2001
2020-03-18,Other passports,10987
2020-03-18,Total,12988
2020-03-19,New Zealand passport,1557
2020-03-19,Other passports,9813
2020-03-19,Total,11370
2020-03-20,New Zealand passport,2068
2020-03-20,Other passports,11245
2020-03-20,Total,13313
2020-03-21,New Zealand passport,1239
2020-03-21,Other passports,9488
2020-03-21,Total,10727
2020-03-22,New Zealand passport,1215
2020-03-22,Other passports,9604
2020-03-22,Total,10819
2020-03-23,New Zealand passport,853
2020-03-23,Other passports,7360
2020-03-23,Total,8213
2020-03-24,New Zealand passport,797
2020-03-24,Other passports,4755
2020-03-24,Total,5552
2020-03-25,New Zealand passport,527
2020-03-25,Other passports,4371
2020-03-25,Total,4898
2020-03-26,New Zealand passport,374
2020-03-26,Other passports,2814
2020-03-26,Total,3188
2020-03-27,New Zealand passport,227
2020-03-27,Other passports,2643
2020-03-27,Total,2870
2020-03-28,New Zealand passport,258
2020-03-28,Other passports,2966
2020-03-28,Total,3224
2020-03-29,New Zealand passport,138
2020-03-29,Other passports,2392
2020-03-29,Total,2530
2020-03-30,New Zealand passport,37
2020-03-30,Other passports,726
2020-03-30,Total,763
2020-03-31,New Zealand passport,36
2020-03-31,Other passports,581
2020-03-31,Total,617
2020-04-01,New Zealand passport,34
2020-04-01,Other passports,1107
2020-04-01,Total,1141
2020-04-02,New Zealand passport,61
2020-04-02,Other passports,498
2020-04-02,Total,559
2020-04-03,New Zealand passport,37
2020-04-03,Other passports,641
2020-04-03,Total,678
2020-04-04,New Zealand passport,42
2020-04-04,Other passports,893
2020-04-04,Total,935
2020-04-05,New Zealand passport,19
2020-04-05,Other passports,1210
2020-04-05,Total,1229
2020-04-06,New Zealand passport,54
2020-04-06,Other passports,1765
2020-04-06,Total,1819
2020-04-07,New Zealand passport,79
2020-04-07,Other passports,2056
2020-04-07,Total,2135
2020-04-08,New Zealand passport,23
2020-04-08,Other passports,2912
2020-04-08,Total,2935
2020-04-09,New Zealand passport,52
2020-04-09,Other passports,2280
2020-04-09,Total,2332
2020-04-10,New Zealand passport,90
2020-04-10,Other passports,2210
2020-04-10,Total,2300
2020-04-11,New Zealand passport,70
2020-04-11,Other passports,2118
2020-04-11,Total,2188
2020-04-12,New Zealand passport,69
2020-04-12,Other passports,2465
2020-04-12,Total,2534
2020-04-13,New Zealand passport,66
2020-04-13,Other passports,1581
2020-04-13,Total,1647
2020-04-14,New Zealand passport,32
2020-04-14,Other passports,693
2020-04-14,Total,725
2020-04-15,New Zealand passport,13
2020-04-15,Other passports,579
2020-04-15,Total,592
2020-04-16,New Zealand passport,34
2020-04-16,Other passports,1079
2020-04-16,Total,1113
2020-04-17,New Zealand passport,39
2020-04-17,Other passports,483
2020-04-17,Total,522
2020-04-18,New Zealand passport,83
2020-04-18,Other passports,1153
2020-04-18,Total,1236
2020-04-19,New Zealand passport,43
2020-04-19,Other passports,679
2020-04-19,Total,722
2020-04-20,New Zealand passport,30
2020-04-20,Other passports,339
2020-04-20,Total,369
2020-04-21,New Zealand passport,45
2020-04-21,Other passports,591
2020-04-21,Total,636
2020-04-22,New Zealand passport,22
2020-04-22,Other passports,196
2020-04-22,Total,218
2020-04-23,New Zealand passport,37
2020-04-23,Other passports,194
2020-04-23,Total,231
2020-04-24,New Zealand passport,49
2020-04-24,Other passports,336
